Datetime,1,2,3,4,5,6,7,8,9,11,12,13,14,15,Anomaly
2024-10-20 16:00:00,2,3,2,2,1,1,1,1,0,0,0,0,0,0,0
2024-10-20 16:30:00,0,1,0,2,0,0,0,1,2,2,0,0,0,0,0
2024-10-20 17:00:00,1,1,0,2,0,2,0,0,1,1,1,1,1,0,0
2024-10-20 17:30:00,0,0,1,2,1,2,1,0,1,0,2,0,2,0,0
2024-10-20 18:00:00,0,0,0,4,0,0,0,1,1,0,0,0,0,2,0
2024-10-20 18:30:00,1,0,1,2,1,2,0,1,0,2,1,0,0,1,0
2024-10-20 19:00:00,0,1,1,1,1,1,2,2,0,0,1,0,1,0,0
2024-10-20 19:30:00,2,2,0,1,0,2,0,0,2,0,0,1,0,1,0
2024-10-20 20:00:00,1,1,0,1,0,0,1,0,1,2,0,0,2,0,0
2024-10-20 20:30:00,0,1,1,1,1,1,1,1,0,0,0,0,1,2,0
2024-10-20 21:00:00,1,0,0,0,3,2,1,1,0,1,1,1,0,2,0
2024-10-20 21:30:00,0,2,1,2,0,2,0,0,0,0,2,1,0,1,0
2024-10-20 22:00:00,1,2,0,0,2,0,0,1,0,0,2,0,1,2,0
2024-10-20 22:30:00,1,0,1,1,2,0,0,2,0,0,1,1,1,0,0
2024-10-20 23:00:00,0,0,0,1,2,0,1,1,0,1,1,1,0,1,0
2024-10-20 23:30:00,0,1,1,3,1,1,2,3,0,0,2,1,0,0,0
2024-10-21 00:00:00,0,0,0,3,1,1,1,1,0,2,0,0,1,0,0
2024-10-21 00:30:00,0,1,2,1,0,1,1,1,1,0,2,3,1,0,0
2024-10-21 01:00:00,1,0,1,1,0,2,1,1,0,1,0,2,0,1,0
2024-10-21 01:30:00,1,1,1,1,1,0,0,0,0,0,0,2,0,0,1
2024-10-21 02:00:00,0,0,0,1,2,1,0,1,1,1,0,0,1,1,0
2024-10-21 02:30:00,1,1,0,0,2,0,1,3,1,0,1,1,0,1,0
2024-10-21 03:00:00,1,1,0,1,1,0,1,1,1,2,0,0,0,1,0
2024-10-21 03:30:00,0,0,0,0,1,3,0,0,1,0,1,3,1,1,0
2024-10-21 04:00:00,0,0,0,1,1,1,1,2,0,1,1,1,1,0,0
2024-10-21 04:30:00,0,2,1,1,2,2,0,1,0,1,0,0,0,2,0
2024-10-21 05:00:00,0,0,0,3,1,1,0,2,1,1,1,1,0,0,0
2024-10-21 05:30:00,0,0,1,1,0,1,1,1,3,0,0,2,0,1,0
2024-10-21 06:00:00,0,2,2,3,1,0,1,0,0,0,1,1,0,3,0
2024-10-21 06:30:00,0,1,0,2,1,0,1,2,0,3,0,0,1,0,0
2024-10-21 07:00:00,0,0,2,3,1,2,1,0,1,0,0,1,0,1,0
2024-10-21 07:30:00,2,1,0,3,0,0,1,1,1,0,2,1,0,3,0
2024-10-21 08:00:00,3,0,0,1,0,2,1,0,2,0,0,2,0,1,0
2024-10-21 08:30:00,0,0,0,2,0,1,2,0,1,2,1,0,0,1,0
2024-10-21 09:00:00,1,0,2,1,2,2,0,0,0,2,1,0,1,0,0
2024-10-21 09:30:00,1,1,2,0,1,1,1,1,2,0,0,2,2,0,0
2024-10-21 10:00:00,1,1,0,3,0,1,0,1,1,0,1,0,0,0,0
2024-10-21 10:30:00,3,2,0,3,0,1,0,0,3,0,0,0,0,0,0
2024-10-21 11:00:00,1,0,1,3,2,3,1,1,0,0,0,0,0,1,0
2024-10-21 11:30:00,1,1,2,2,0,0,3,0,0,1,0,1,1,0,0
2024-10-21 12:00:00,1,1,2,1,2,1,0,1,0,0,1,0,0,2,0
2024-10-21 12:30:00,2,0,0,3,0,1,0,2,0,0,1,0,3,1,0
2024-10-21 13:00:00,0,0,0,0,0,1,1,0,2,0,0,1,0,2,1
2024-10-21 13:30:00,0,0,0,2,1,0,0,0,2,2,0,1,2,2,0
2024-10-21 14:00:00,1,3,2,0,1,0,0,0,2,0,1,0,1,0,0
2024-10-21 14:30:00,1,1,0,0,1,0,4,0,1,2,1,0,0,0,0
2024-10-21 15:00:00,1,0,1,2,2,0,0,0,2,1,0,1,1,1,0
2024-10-21 15:30:00,1,1,0,0,3,0,0,0,0,1,0,1,1,1,0
2024-10-21 16:00:00,1,1,2,1,0,1,0,2,0,0,0,0,2,2,0
2024-10-21 16:30:00,1,0,0,0,1,0,0,1,3,1,1,1,0,0,0
2024-10-21 17:00:00,1,1,0,0,0,1,0,1,2,1,0,0,0,0,0
2024-10-21 17:30:00,1,1,2,0,0,2,2,1,2,1,1,1,2,0,0
2024-10-21 18:00:00,2,0,0,0,1,1,0,1,1,0,1,1,0,2,0
2024-10-21 18:30:00,0,0,3,1,0,0,1,1,1,2,2,0,1,0,0
2024-10-21 19:00:00,1,1,0,0,1,0,0,0,3,0,0,0,1,1,0
2024-10-21 19:30:00,0,0,1,0,1,2,0,1,0,2,1,0,3,0,0
2024-10-21 20:00:00,3,1,0,1,2,0,2,1,1,0,0,3,0,0,0
2024-10-21 20:30:00,2,2,0,1,0,4,0,0,1,1,0,1,3,0,0
2024-10-21 21:00:00,2,2,2,0,1,0,0,0,1,1,0,0,1,1,0
2024-10-21 21:30:00,0,0,0,2,1,1,1,0,0,0,1,1,4,0,0
2024-10-21 22:00:00,0,2,0,1,0,1,1,1,0,1,2,1,1,2,0
2024-10-21 22:30:00,2,1,2,2,1,0,2,0,0,0,2,1,0,1,0
2024-10-21 23:00:00,0,0,0,4,0,1,1,1,0,1,1,0,0,0,0
2024-10-21 23:30:00,1,2,1,1,3,0,0,0,2,1,2,2,1,0,0
2024-10-22 00:00:00,0,0,2,3,1,1,0,0,0,0,2,2,0,1,0
2024-10-22 00:30:00,0,1,2,0,0,1,2,2,0,0,0,2,0,0,0
2024-10-22 01:00:00,0,1,2,1,1,0,0,0,0,2,1,0,0,0,0
2024-10-22 01:30:00,1,1,1,2,1,0,0,0,0,0,1,3,1,0,0
2024-10-22 02:00:00,0,3,1,1,1,0,1,0,1,1,0,0,0,1,0
2024-10-22 02:30:00,2,1,2,1,2,1,0,1,0,0,0,0,1,1,0
2024-10-22 03:00:00,0,1,1,1,2,0,1,0,0,0,4,0,1,1,0
2024-10-22 03:30:00,0,3,1,1,0,1,1,1,1,0,2,0,0,1,0
2024-10-22 04:00:00,0,0,1,2,0,1,1,3,1,0,0,0,2,1,0
2024-10-22 04:30:00,0,2,0,2,0,0,0,3,1,0,1,1,1,2,0
2024-10-22 05:00:00,1,0,1,0,0,0,2,1,2,3,1,1,1,1,0
2024-10-22 05:30:00,1,0,3,1,1,0,1,0,1,0,0,2,0,1,0
2024-10-22 06:00:00,0,1,1,1,2,0,1,1,1,0,0,1,1,2,0
2024-10-22 06:30:00,1,1,0,3,0,0,2,0,0,1,0,0,0,0,0
2024-10-22 07:00:00,2,2,2,3,1,0,0,1,0,1,0,0,0,2,0
2024-10-22 07:30:00,1,1,1,1,0,0,0,1,0,1,1,0,2,2,1
2024-10-22 08:00:00,0,0,0,5,0,1,0,1,1,1,2,1,2,2,0
2024-10-22 08:30:00,1,0,2,2,2,0,0,2,0,1,0,2,0,0,0
2024-10-22 09:00:00,0,1,2,0,0,1,1,1,2,1,1,3,1,3,0
2024-10-22 09:30:00,1,0,1,2,2,0,1,0,0,2,1,0,1,1,0
2024-10-22 10:00:00,1,0,0,2,0,1,1,0,1,0,1,1,1,0,0
2024-10-22 10:30:00,0,1,0,1,0,1,0,1,2,0,0,0,0,1,0
2024-10-22 11:00:00,1,2,0,1,1,1,2,0,2,2,0,1,1,0,0
2024-10-22 11:30:00,1,0,0,1,0,0,3,3,1,0,0,1,0,0,0
2024-10-22 12:00:00,1,0,0,1,0,1,0,0,1,0,1,1,3,1,0
2024-10-22 12:30:00,2,1,2,3,0,0,1,0,0,1,0,1,1,0,0
2024-10-22 13:00:00,1,1,1,1,1,1,0,1,4,0,1,0,0,0,0
2024-10-22 13:30:00,0,0,3,1,2,0,2,0,0,1,0,2,1,1,0
2024-10-22 14:00:00,1,1,0,1,1,0,0,2,0,0,0,0,1,2,0
2024-10-22 14:30:00,1,1,0,2,1,0,1,0,1,0,1,1,1,0,0
2024-10-22 15:00:00,1,1,2,1,0,0,1,1,1,1,0,0,1,2,0
2024-10-22 15:30:00,0,1,1,2,1,1,1,2,0,0,1,2,0,0,0
2024-10-22 16:00:00,0,0,2,1,1,1,0,0,1,0,0,2,0,2,0
2024-10-22 16:30:00,0,0,1,0,0,0,1,1,0,0,1,2,1,3,0
2024-10-22 17:00:00,0,0,0,1,1,1,0,1,2,2,0,0,0,2,0
2024-10-22 17:30:00,0,1,1,2,2,0,0,1,1,0,0,0,2,0,0
2024-10-22 18:00:00,1,0,2,1,1,2,0,1,0,0,1,1,2,0,0
2024-10-22 18:30:00,1,0,0,3,1,0,0,1,0,0,3,0,1,1,0
2024-10-22 19:00:00,1,0,2,1,0,0,2,0,1,0,1,2,0,0,0
2024-10-22 19:30:00,0,1,1,1,2,0,1,2,0,2,0,1,1,1,0
2024-10-22 20:00:00,0,0,1,2,0,1,0,0,2,0,1,0,3,1,0
2024-10-22 20:30:00,0,0,2,1,2,2,0,0,0,0,0,1,1,2,0
2024-10-22 21:00:00,1,0,0,1,1,1,1,1,0,3,0,1,2,0,0
2024-10-22 21:30:00,0,2,2,4,1,1,1,2,0,0,1,1,0,0,0
2024-10-22 22:00:00,0,0,2,5,1,1,1,0,0,0,0,2,1,0,0
2024-10-22 22:30:00,0,1,1,0,1,1,0,1,1,2,0,0,1,3,0
2024-10-22 23:00:00,1,0,3,1,1,1,3,2,0,0,1,0,2,0,0
2024-10-22 23:30:00,0,0,1,1,0,1,0,1,0,2,0,0,2,0,0
2024-10-23 00:00:00,2,1,1,0,1,0,3,0,0,0,3,2,1,1,0
2024-10-23 00:30:00,0,1,0,5,1,0,0,1,2,1,0,1,0,0,0
2024-10-23 01:00:00,0,1,2,0,0,0,0,1,1,0,0,1,1,1,1
2024-10-23 01:30:00,0,2,1,2,0,1,0,1,0,0,1,0,1,1,0
2024-10-23 02:00:00,3,1,1,1,0,0,0,0,0,1,0,0,1,4,0
2024-10-23 02:30:00,0,0,1,3,3,0,1,1,0,0,1,1,0,0,0
2024-10-23 03:00:00,0,1,1,0,1,1,2,0,0,2,0,3,1,0,0
2024-10-23 03:30:00,2,0,1,3,0,0,0,0,0,0,0,0,2,1,0
2024-10-23 04:00:00,0,0,1,1,2,2,2,2,0,1,0,0,0,1,0
2024-10-23 04:30:00,0,2,1,0,1,1,1,0,1,1,2,0,0,0,0
2024-10-23 05:00:00,0,1,1,1,0,1,1,2,0,0,1,0,2,0,0
2024-10-23 05:30:00,1,1,1,1,0,0,1,1,4,1,0,0,1,1,0
2024-10-23 06:00:00,0,0,0,3,0,1,1,1,0,2,2,0,0,0,0
2024-10-23 06:30:00,2,0,1,2,2,2,1,0,2,1,2,0,0,0,0
2024-10-23 07:00:00,0,1,0,1,1,2,1,1,2,0,0,0,0,2,0
2024-10-23 07:30:00,2,0,0,5,0,1,0,2,0,0,0,0,1,1,0
2024-10-23 08:00:00,0,3,2,0,1,2,0,3,0,0,1,3,0,1,0
2024-10-23 08:30:00,0,1,0,2,2,1,1,1,0,1,0,1,0,1,0
2024-10-23 09:00:00,2,2,2,2,0,1,0,1,0,0,0,0,1,0,0
2024-10-23 09:30:00,1,0,1,0,1,0,1,1,1,0,0,1,3,2,0
2024-10-23 10:00:00,0,0,1,1,0,2,1,1,4,0,1,0,0,2,0
2024-10-23 10:30:00,1,1,0,1,1,0,1,0,1,0,0,0,2,0,1
2024-10-23 11:00:00,0,0,1,2,0,0,0,0,1,2,2,0,0,1,0
2024-10-23 11:30:00,1,3,2,3,1,0,0,0,1,2,1,1,1,0,0
2024-10-23 12:00:00,1,1,1,1,0,1,0,2,1,0,0,3,2,0,0
2024-10-23 12:30:00,0,0,1,1,0,1,1,0,1,3,1,1,0,1,0
2024-10-23 13:00:00,0,0,0,1,0,0,1,0,3,0,1,2,0,2,0
2024-10-23 13:30:00,0,2,0,2,1,2,1,0,1,1,2,1,1,0,0
2024-10-23 14:00:00,1,0,0,2,0,1,1,1,0,0,0,2,1,1,0
2024-10-23 14:30:00,2,0,1,0,1,0,0,0,1,1,1,1,0,1,0
2024-10-23 15:00:00,1,1,1,3,0,2,1,1,0,0,2,1,1,0,0
2024-10-23 15:30:00,1,1,2,3,0,2,0,0,0,0,0,1,0,2,0
2024-10-23 16:00:00,3,2,0,3,1,0,0,1,0,0,0,1,0,1,0
2024-10-23 16:30:00,0,0,0,1,0,0,0,0,3,2,0,3,1,0,0
2024-10-23 17:00:00,2,1,0,2,2,1,1,0,0,0,2,0,1,1,0
2024-10-23 17:30:00,0,1,0,0,0,0,0,1,1,2,3,0,0,0,0
2024-10-23 18:00:00,0,0,1,2,1,1,1,4,0,2,1,1,0,1,0
2024-10-23 18:30:00,0,1,1,3,1,1,0,1,0,0,1,0,0,0,1
2024-10-23 19:00:00,1,1,0,2,1,1,0,2,0,1,2,1,0,0,0
2024-10-23 19:30:00,1,0,0,1,1,0,1,2,0,1,0,2,0,0,0
2024-10-23 20:00:00,3,0,0,1,0,1,2,0,1,2,0,0,1,0,0
2024-10-23 20:30:00,0,0,0,4,2,1,2,2,0,0,1,0,0,0,0
2024-10-23 21:00:00,1,2,0,2,0,0,1,0,0,2,1,0,0,2,0
2024-10-23 21:30:00,0,3,0,1,3,0,0,1,1,1,0,1,1,0,0
2024-10-23 22:00:00,1,0,0,1,1,2,2,3,1,0,1,1,1,1,0
2024-10-23 22:30:00,1,0,1,3,1,0,2,0,0,1,2,0,1,0,0
2024-10-23 23:00:00,0,0,0,4,1,1,1,0,1,0,3,0,0,0,0
2024-10-23 23:30:00,0,1,0,2,0,0,2,0,1,0,0,1,2,1,0
2024-10-24 00:00:00,1,1,0,2,1,0,0,0,0,0,1,1,1,1,0
2024-10-24 00:30:00,0,1,0,1,1,0,1,1,2,0,0,1,2,2,0
2024-10-24 01:00:00,1,2,3,1,0,0,0,1,0,0,1,2,1,2,0
2024-10-24 01:30:00,0,0,2,1,0,2,1,0,1,0,1,0,1,2,0
2024-10-24 02:00:00,1,0,0,2,0,1,0,2,1,0,1,0,1,2,0
2024-10-24 02:30:00,1,1,1,1,0,0,1,1,0,1,0,1,1,2,0
2024-10-24 03:00:00,0,1,0,1,0,1,0,0,1,1,3,1,1,0,0
2024-10-24 03:30:00,0,0,1,1,2,1,1,0,2,1,1,1,0,0,0
2024-10-24 04:00:00,1,1,0,2,1,0,1,0,0,0,0,1,2,1,0
2024-10-24 04:30:00,1,4,0,1,1,0,1,1,0,0,1,1,1,0,0
2024-10-24 05:00:00,0,1,2,1,2,2,1,1,0,0,1,0,0,1,0
2024-10-24 05:30:00,2,1,0,2,0,0,0,1,0,1,1,0,0,0,0
2024-10-24 06:00:00,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0
2024-10-24 06:30:00,0,1,1,5,0,0,1,1,0,1,2,0,0,1,0
2024-10-24 07:00:00,2,1,1,1,1,0,3,2,0,0,0,1,1,0,0
2024-10-24 07:30:00,2,0,2,2,0,0,1,0,0,1,0,1,1,0,0
2024-10-24 08:00:00,0,1,1,4,1,0,0,1,1,0,1,1,0,1,0
2024-10-24 08:30:00,0,0,2,0,0,0,2,1,2,1,1,1,2,0,0
2024-10-24 09:00:00,0,0,0,2,0,0,1,0,0,1,1,1,2,2,0
2024-10-24 09:30:00,0,0,1,1,2,1,2,1,0,1,0,0,2,1,0
2024-10-24 10:00:00,0,0,0,1,0,0,2,0,1,2,1,2,0,3,0
2024-10-24 10:30:00,2,0,2,1,0,0,1,1,2,2,0,0,0,0,0
2024-10-24 11:00:00,3,0,0,4,1,0,1,0,0,0,0,0,1,0,0
2024-10-24 11:30:00,2,0,0,1,1,1,0,0,0,0,0,2,1,2,0
2024-10-24 12:00:00,1,0,0,1,2,1,0,0,0,1,1,1,1,1,0
2024-10-24 12:30:00,0,4,0,1,1,0,0,0,1,3,1,0,0,2,0
2024-10-24 13:00:00,1,1,0,2,2,1,0,1,0,0,1,0,1,1,0
2024-10-24 13:30:00,1,0,0,1,0,1,1,1,0,0,0,2,0,2,0
2024-10-24 14:00:00,1,1,0,0,0,0,0,3,2,0,0,0,2,0,0
2024-10-24 14:30:00,2,1,2,2,1,1,1,1,1,0,1,1,0,0,0
2024-10-24 15:00:00,0,0,1,2,0,0,0,1,1,0,2,0,1,1,0
2024-10-24 15:30:00,0,1,1,2,0,1,0,1,1,0,1,0,1,0,0
2024-10-24 16:00:00,2,1,1,0,1,2,1,1,0,2,0,0,1,0,0
2024-10-24 16:30:00,2,1,0,1,1,0,1,1,0,1,0,0,1,0,0
2024-10-24 17:00:00,0,1,0,4,0,1,1,1,0,0,0,0,0,2,0
2024-10-24 17:30:00,1,0,1,3,0,0,1,0,1,0,1,1,3,0,0
2024-10-24 18:00:00,1,1,0,2,0,1,0,0,0,0,0,2,1,1,0
2024-10-24 18:30:00,1,1,1,4,1,0,2,0,0,2,0,1,0,2,0
2024-10-24 19:00:00,1,0,1,2,1,0,0,3,0,0,1,0,0,1,0
2024-10-24 19:30:00,1,1,0,6,0,0,0,1,2,0,1,0,0,0,0
2024-10-24 20:00:00,1,0,2,0,2,2,0,1,1,2,0,0,1,0,0
2024-10-24 20:30:00,3,0,0,1,1,2,0,2,1,0,1,0,0,0,0
2024-10-24 21:00:00,1,0,1,2,0,1,1,1,0,1,0,0,1,0,0
2024-10-24 21:30:00,0,0,1,2,1,1,0,2,0,1,0,1,1,1,0
2024-10-24 22:00:00,2,1,0,1,0,0,0,2,1,1,0,1,0,1,0
2024-10-24 22:30:00,1,1,1,1,0,2,0,2,0,1,0,1,0,0,0
2024-10-24 23:00:00,2,0,2,1,0,0,2,2,1,1,0,0,0,1,0
2024-10-24 23:30:00,1,1,0,1,0,0,3,0,0,1,2,1,0,0,0
2024-10-25 00:00:00,0,1,1,2,3,0,0,0,1,0,1,0,2,2,0
2024-10-25 00:30:00,0,2,3,1,0,1,0,1,0,1,1,0,0,0,0
2024-10-25 01:00:00,1,1,3,2,1,1,0,1,1,0,0,0,0,1,0
2024-10-25 01:30:00,0,2,2,1,0,1,1,1,0,3,0,1,0,0,0
2024-10-25 02:00:00,1,0,1,2,0,0,1,2,1,0,0,2,0,0,0
2024-10-25 02:30:00,1,1,0,4,0,2,0,1,1,0,1,1,0,0,0
2024-10-25 03:00:00,1,1,2,1,0,0,2,1,0,0,0,0,0,0,0
2024-10-25 03:30:00,0,1,0,1,2,1,0,0,0,1,2,0,1,1,0
2024-10-25 04:00:00,0,2,1,3,0,0,0,0,1,1,1,2,0,0,0
2024-10-25 04:30:00,0,0,2,1,0,2,1,0,1,0,0,1,1,2,0
2024-10-25 05:00:00,0,3,0,3,1,1,0,1,1,1,1,1,0,0,0
2024-10-25 05:30:00,0,1,1,3,0,0,0,1,1,0,1,0,1,2,0
2024-10-25 06:00:00,0,1,0,2,0,1,1,1,0,0,3,1,1,0,0
2024-10-25 06:30:00,0,0,0,3,0,3,1,1,0,1,1,0,2,0,0
2024-10-25 07:00:00,0,1,2,0,1,3,0,2,1,0,0,0,1,1,0
2024-10-25 07:30:00,0,1,0,1,1,0,1,2,0,0,0,2,0,2,0
2024-10-25 08:00:00,0,2,1,2,0,3,0,2,1,1,0,0,0,0,0
2024-10-25 08:30:00,0,0,2,0,0,1,1,1,2,1,1,1,1,0,0
2024-10-25 09:00:00,0,0,0,3,0,1,3,1,1,1,0,1,0,1,0
2024-10-25 09:30:00,3,1,1,0,0,0,3,0,1,0,0,1,0,1,0
2024-10-25 10:00:00,0,2,2,1,1,0,0,2,0,3,2,0,0,0,0
2024-10-25 10:30:00,2,0,0,1,0,1,1,1,2,0,1,1,0,0,0
2024-10-25 11:00:00,1,1,0,4,2,1,0,1,0,1,1,0,1,1,0
2024-10-25 11:30:00,1,1,0,1,0,0,1,1,0,1,2,2,2,3,0
2024-10-25 12:00:00,0,0,3,0,2,1,0,1,0,1,1,0,0,0,1
2024-10-25 12:30:00,1,0,1,2,1,2,0,1,2,0,0,1,1,1,0
2024-10-25 13:00:00,1,1,0,1,0,0,1,1,0,0,0,1,2,1,0
2024-10-25 13:30:00,0,0,1,1,2,1,0,1,1,1,1,1,2,1,0
2024-10-25 14:00:00,0,1,1,0,0,1,0,0,1,0,0,3,2,1,0
2024-10-25 14:30:00,2,0,2,2,1,0,3,1,0,1,0,1,1,1,0
2024-10-25 15:00:00,1,1,0,0,1,0,0,1,1,0,0,2,2,1,0
2024-10-25 15:30:00,1,0,0,1,1,0,2,2,0,0,1,1,0,0,0
2024-10-25 16:00:00,1,1,2,0,1,1,1,0,0,1,1,0,1,1,0
2024-10-25 16:30:00,1,0,0,0,1,2,1,1,0,0,1,2,1,0,0
2024-10-25 17:00:00,0,0,0,2,0,1,0,0,0,1,1,3,1,0,0
2024-10-25 17:30:00,1,2,0,2,1,1,0,0,2,0,2,1,0,1,0
2024-10-25 18:00:00,0,0,1,2,1,0,0,2,0,0,0,3,0,1,0
2024-10-25 18:30:00,2,2,0,0,2,1,2,0,0,1,1,1,1,0,0
2024-10-25 19:00:00,1,1,0,1,4,0,1,1,0,0,0,1,0,1,0
2024-10-25 19:30:00,2,1,1,1,0,1,1,1,0,2,2,0,0,0,0
2024-10-25 20:00:00,0,1,0,3,1,0,0,1,0,0,0,1,2,2,0
2024-10-25 20:30:00,4,2,0,0,1,2,1,0,1,1,0,0,0,1,0
2024-10-25 21:00:00,1,1,1,6,0,1,1,0,0,0,1,1,1,0,0
2024-10-25 21:30:00,1,0,1,1,0,0,0,2,1,0,1,1,2,2,0
2024-10-25 22:00:00,1,0,1,2,2,0,0,1,0,0,0,1,1,2,0
2024-10-25 22:30:00,0,1,0,2,1,2,3,0,0,0,1,1,0,0,0
2024-10-25 23:00:00,0,2,0,1,0,2,0,0,1,1,1,2,0,1,0
2024-10-25 23:30:00,0,1,1,1,0,3,0,0,1,0,2,0,0,0,0
2024-10-26 00:00:00,1,3,0,2,0,1,3,1,0,0,1,0,0,1,0
2024-10-26 00:30:00,1,1,0,0,1,0,0,0,1,1,1,0,0,2,1
2024-10-26 01:00:00,1,0,0,3,1,1,1,0,0,2,0,3,1,0,0
2024-10-26 01:30:00,0,2,1,1,0,1,1,0,2,0,0,2,1,0,0
2024-10-26 02:00:00,1,0,1,0,2,3,0,1,1,1,0,0,2,0,0
2024-10-26 02:30:00,1,1,1,4,2,1,0,0,0,0,1,1,1,0,0
2024-10-26 03:00:00,0,0,1,3,1,0,0,1,1,1,0,0,0,0,0
2024-10-26 03:30:00,1,1,2,2,0,0,0,0,1,0,2,0,0,1,0
2024-10-26 04:00:00,0,1,0,3,0,1,1,0,1,0,1,0,0,1,1
2024-10-26 04:30:00,1,1,0,2,1,0,1,1,0,2,1,0,0,0,0
2024-10-26 05:00:00,0,0,1,0,2,1,0,1,1,0,1,1,0,1,1
2024-10-26 05:30:00,0,0,2,0,0,0,1,1,0,2,0,1,1,1,0
2024-10-26 06:00:00,1,0,0,2,1,1,1,0,1,1,0,0,0,1,0
2024-10-26 06:30:00,1,0,1,2,2,1,0,1,2,0,2,0,0,1,0
2024-10-26 07:00:00,2,1,0,2,3,0,1,1,0,1,1,1,0,0,0
2024-10-26 07:30:00,1,1,1,2,0,1,3,0,0,0,0,1,0,1,0
2024-10-26 08:00:00,2,1,0,0,0,0,2,0,0,1,1,1,1,1,0
2024-10-26 08:30:00,1,0,0,1,0,0,0,2,1,0,1,1,2,1,0
2024-10-26 09:00:00,1,0,0,0,0,3,1,2,0,0,2,2,0,0,0
2024-10-26 09:30:00,1,1,1,2,3,0,0,1,0,0,0,1,0,0,1
